serial,movie_title,rates,year
146,The Treasure of the Sierra Madre,8.148610608093831,1948
147,Shutter Island,8.146791776941052,2010
148,Jurassic Park,8.14555965543824,1993
149,Rashômon,8.142414732502099,1950
150,The Great Escape,8.14223929233899,1963
151,Kill Bill: Vol 1,8.13787111226118,2003
152,No Country for Old Men,8.13704645008374,2007
153,Finding Nemo,8.131725875029442,2003
154,The Elephant Man,8.129883973945232,1980
155,Chinatown,8.12910671343302,1974
156,Raging Bull,8.127971909367897,1980
157,The Thing,8.12752087977287,1982
158,Gone with the Wind,8.124968219575203,1939
159,V for Vendetta,8.124859252062073,2005
160,Inside Out,8.123244552205414,2015
161,"Lock, Stock and Two Smoking Barrels",8.122075676069999,1998
162,Dial M for Murder,8.120501535720425,1954
163,El secreto de sus ojos,8.1173553058034,2009
164,Hauru no ugoku shiro,8.115340525966591,2004
165,The Bridge on the River Kwai,8.113265250257568,1957
166,"Three Billboards Outside Ebbing, Missouri",8.11147702958458,2017
167,Trainspotting,8.11060214371174,1996
168,Warrior,8.104133622234752,2011
169,Gran Torino,8.103783611711561,2008
170,Fargo,8.10295047852291,1996
171,Prisoners,8.099323133705786,2013
172,Tonari no Totoro,8.09398131993985,1988
173,Million Dollar Baby,8.089552520568484,2004
174,Catch Me If You Can,8.08843780885065,2002
175,The Gold Rush,8.086867697548358,1925
176,Blade Runner,8.084885705048523,1982
177,Bacheha-Ye aseman,8.084243478618271,1997
178,On the Waterfront,8.083400004884336,1954
179,The Third Man,8.080918056916731,1949
180,Before Sunrise,8.079257749580645,1995
181,12 Years a Slave,8.0790873081506,2013
182,Ben-Hur,8.078686088862598,1959
183,Smultronstället,8.078138674457314,1957
184,Harry Potter and the Deathly Hallows: Part 2,8.077901180753631,2011
185,Gone Girl,8.077255767011057,2014
186,The General,8.076964399701966,1926
187,The Deer Hunter,8.07507591953401,1978
188,In the Name of the Father,8.074036427713494,1993
189,The Grand Budapest Hotel,8.07382442320041,2014
190,Le salaire de la peur,8.071637677293287,1953
191,Barry Lyndon,8.0715092388,1975
192,Mr Smith Goes to Washington,8.070112722929263,1939
193,Sherlock Jr,8.069252309652978,1924
194,Hacksaw Ridge,8.069148451342496,2016
195,Salinui chueok,8.068718574174467,2003
196,Klaus,8.067987296514342,2019
197,Relatos salvajes,8.066242778338792,2014
198,Det sjunde inseglet,8.065387899704605,1957
199,Room,8.064983111570408,2015
200,Mad Max: Fury Road,8.063009205643027,2015
201,How to Train Your Dragon,8.061913659956753,2010
202,Mary and Max,8.061045140837965,2009
203,The Big Lebowski,8.060879309315618,1998
204,Jaws,8.06050791873967,1975
205,"Monsters, Inc",8.059680107666649,2001
206,Everything Everywhere All at Once,8.058225636604776,2022
207,Tôkyô monogatari,8.056200620219006,1953
208,Dead Poets Society,8.054872685150043,1989
209,La passion de Jeanne d'Arc,8.054023587869235,1928
210,Hotel Rwanda,8.052018278516623,2004
211,Ford v Ferrari,8.047307738646843,2019
212,Rocky,8.047275210510362,1976
213,Platoon,8.04636490588618,1986
214,Pather Panchali,8.042525833499692,1955
215,Stand by Me,8.04099310595506,1986
216,The Terminator,8.040951710770107,1984
217,Spotlight,8.040003706099837,2015
218,Rush,8.03800643931757,2013
219,Logan,8.037596470545973,2017
220,Ratatouille,8.036504010833394,2007
221,Network,8.036449222497687,1976
222,Into the Wild,8.035009041810754,2007
223,The Wizard of Oz,8.033885748039344,1939
224,Groundhog Day,8.030840365475783,1993
225,Before Sunset,8.030067945354853,2004
226,Jai Bhim,8.029026563189419,2021
227,The Exorcist,8.027436858656664,1973
228,The Best Years of Our Lives,8.026484787410608,1946
229,The Incredibles,8.025834232627327,2004
230,To Be or Not to Be,8.024023657985246,1942
231,La battaglia di Algeri,8.02327058083087,1966
232,The Grapes of Wrath,8.022677510345934,1940
233,Rebecca,8.021967079847585,1940
234,Hachi: A Dog's Tale,8.021781344376116,2009
235,Cool Hand Luke,8.021210315883929,1967
236,Pirates of the Caribbean: The Curse of the Black Pearl,8.021128051836428,2003
237,Amores perros,8.020920903700274,2000
238,La haine,8.019129249179175,1995
239,Babam ve Oglum,8.017882031549252,2005
240,Les quatre cents coups,8.015862562603651,1959
241,Persona,8.015188760158596,1966
242,It Happened One Night,8.014240141589674,1934
243,The Sound of Music,8.012809757844089,1965
244,Life of Brian,8.01258726506991,1979
245,Ah-ga-ssi,8.01238819005103,2016
246,Dersu Uzala,8.009294128977954,1975
247,Aladdin,8.00580610875155,1992
248,Gandhi,8.005732423805904,1982
249,The Help,8.00512899481385,2011
250,The Iron Giant,8.003004404566319,1999
